decile,n,mean_pred_pd,observed_default_rate
1,9769,0.02953663108624058,0.03029992834476405
2,9769,0.04708243402660684,0.04729245572730065
3,9769,0.06023148994676263,0.06837956802129184
4,9769,0.07271326389687076,0.08322243832531477
5,9769,0.0857623313635909,0.10707339543453782
6,9769,0.1004473503791211,0.1305148940526154
7,9769,0.11851596164971838,0.15743678984542941
8,9769,0.14346052754178662,0.19050056300542534
9,9769,0.18536391094830598,0.23001330740096224
10,9769,0.2992151285158049,0.3307400962227454
