Feature,"Primary (int_rate, no LC grade)",Sen 1 (drop int_rate),"Sen 2 (drop int_rate, add sub_grade)"
pub_rec_bankruptcies_missing,0.6192,0.6634,0.4136
home_ownership_MORTGAGE,-0.5743,-0.5599,-0.4606
home_ownership_OWN,-0.5159,-0.4761,-0.4043
purpose_wedding,-0.4655,-0.4608,-0.0747
purpose_small_business,0.4543,0.6328,0.7783
home_ownership_RENT,-0.4147,-0.3765,-0.3023
int_rate,0.3333,,
emp_length_missing,0.3216,0.3501,0.3314
purpose_vacation,-0.2425,-0.0958,0.1167
purpose_credit_card,-0.2328,-0.3378,0.0494
purpose_moving,0.2315,0.4702,0.5773
purpose_house,-0.2271,-0.113,0.1238
annual_inc,-0.2127,-0.2435,-0.2172
acc_open_past_24mths,0.2032,0.2372,0.2018
revol_util_missing,0.1587,0.2991,0.9061
fico,-0.1454,-0.2506,-0.1223
installment,0.128,0.7215,0.2463
dti,0.1143,0.1245,0.1064
purpose_home_improvement,-0.1116,-0.0868,0.1729
purpose_debt_consolidation,-0.0937,-0.1227,0.1854
inq_last_6mths,0.0868,0.1274,0.0862
verification_status_Source Verified,0.0841,0.081,0.0808
purpose_educational,0.0794,0.1216,0.5384
home_ownership_OTHER,-0.0767,-0.1163,-0.5383
term_months,0.0702,0.3594,0.1029
acc_open_past_24mths_missing,0.0701,0.0215,0.0191
mort_acc_missing,0.0701,0.0215,0.0191
mort_acc,-0.0645,-0.0692,-0.0648
total_acc,-0.0613,-0.0937,-0.0584
purpose_renewable_energy,0.0609,0.1469,0.6701
purpose_major_purchase,0.0431,0.0483,0.32
home_ownership_NONE,-0.0347,-0.046,-0.2643
credit_history,-0.0282,-0.0358,-0.0303
open_acc,-0.0279,-0.0258,-0.0262
pub_rec,-0.0245,-0.0228,-0.0299
purpose_other,0.0208,0.1652,0.3228
revol_bal,-0.0152,-0.0181,-0.0161
purpose_medical,-0.0116,0.1887,0.327
revol_util,-0.0105,0.0312,-0.0055
delinq_2yrs,0.0085,0.0158,0.0073
pub_rec_bankruptcies,0.0074,0.0047,0.009
annual_inc_missing,-0.0059,-0.0117,-0.0732
emp_length,-0.0057,-0.0014,-0.0039
verification_status_Verified,-0.0046,0.0464,0.0138
delinq_2yrs_missing,0.0045,-0.0014,-0.0913
inq_last_6mths_missing,0.0045,-0.0014,-0.0913
credit_history_missing,0.0045,-0.0014,-0.0913
open_acc_missing,0.0045,-0.0014,-0.0913
total_acc_missing,0.0045,-0.0014,-0.0913
pub_rec_missing,0.0045,-0.0014,-0.0913
loan_amnt,-0.0016,-0.597,-0.1277
sub_grade_A3,,,-0.0244
sub_grade_A2,,,-0.2174
sub_grade_B3,,,0.3864
sub_grade_B2,,,0.2084
sub_grade_B1,,,0.1683
sub_grade_A5,,,0.1586
sub_grade_A4,,,-0.0779
sub_grade_B4,,,0.404
sub_grade_C1,,,0.5778
sub_grade_B5,,,0.3695
sub_grade_D2,,,0.8589
sub_grade_D3,,,0.8559
sub_grade_D4,,,0.9038
sub_grade_C2,,,0.6865
sub_grade_C3,,,0.6651
sub_grade_C4,,,0.74
sub_grade_C5,,,0.6845
sub_grade_D1,,,0.8265
sub_grade_E4,,,1.1716
sub_grade_E3,,,1.0146
sub_grade_E2,,,0.9984
sub_grade_E1,,,0.9918
sub_grade_D5,,,0.8789
sub_grade_E5,,,1.0791
sub_grade_F2,,,0.9487
sub_grade_F1,,,1.0209
sub_grade_G2,,,1.0761
sub_grade_G1,,,1.2794
sub_grade_F5,,,1.3937
sub_grade_F4,,,1.3234
sub_grade_F3,,,1.2827
sub_grade_G5,,,1.5593
sub_grade_G3,,,1.1156
sub_grade_G4,,,1.1169
