Feature,"Primary (int_rate, no LC grade)",Sen 1 (drop int_rate),"Sen 2 (drop int_rate, add sub_grade)"
pub_rec_bankruptcies_missing,1.8574,1.9413,1.5122
home_ownership_MORTGAGE,0.5631,0.5712,0.6309
home_ownership_OWN,0.5969,0.6212,0.6675
purpose_wedding,0.6278,0.6308,0.9281
purpose_small_business,1.575,1.8829,2.1777
home_ownership_RENT,0.6606,0.6862,0.7391
int_rate,1.3955,,
emp_length_missing,1.3793,1.4192,1.393
purpose_vacation,0.7847,0.9086,1.1238
purpose_credit_card,0.7923,0.7133,1.0506
purpose_moving,1.2604,1.6003,1.7812
purpose_house,0.7969,0.8931,1.1318
annual_inc,0.8084,0.7838,0.8048
acc_open_past_24mths,1.2253,1.2677,1.2236
revol_util_missing,1.172,1.3486,2.4748
fico,0.8647,0.7784,0.8849
installment,1.1365,2.0574,1.2792
dti,1.121,1.1326,1.1123
purpose_home_improvement,0.8944,0.9169,1.1888
purpose_debt_consolidation,0.9106,0.8845,1.2037
inq_last_6mths,1.0906,1.1359,1.09
verification_status_Source Verified,1.0877,1.0844,1.0842
purpose_educational,1.0827,1.1293,1.7132
home_ownership_OTHER,0.9261,0.8902,0.5837
term_months,1.0727,1.4325,1.1084
acc_open_past_24mths_missing,1.0726,1.0218,1.0193
mort_acc_missing,1.0726,1.0218,1.0193
mort_acc,0.9376,0.9332,0.9373
total_acc,0.9405,0.9106,0.9432
purpose_renewable_energy,1.0627,1.1582,1.9544
purpose_major_purchase,1.044,1.0495,1.3772
home_ownership_NONE,0.9659,0.955,0.7677
credit_history,0.9722,0.9648,0.9702
open_acc,0.9725,0.9745,0.9741
pub_rec,0.9758,0.9775,0.9706
purpose_other,1.0211,1.1796,1.381
revol_bal,0.9849,0.9821,0.984
purpose_medical,0.9884,1.2077,1.3868
revol_util,0.9896,1.0317,0.9945
delinq_2yrs,1.0085,1.0159,1.0073
pub_rec_bankruptcies,1.0075,1.0047,1.009
annual_inc_missing,0.9941,0.9884,0.9295
emp_length,0.9944,0.9986,0.9961
verification_status_Verified,0.9954,1.0474,1.0139
delinq_2yrs_missing,1.0045,0.9986,0.9127
inq_last_6mths_missing,1.0045,0.9986,0.9127
credit_history_missing,1.0045,0.9986,0.9127
open_acc_missing,1.0045,0.9986,0.9127
total_acc_missing,1.0045,0.9986,0.9127
pub_rec_missing,1.0045,0.9986,0.9127
loan_amnt,0.9984,0.5504,0.8801
sub_grade_A3,,,0.9759
sub_grade_A2,,,0.8046
sub_grade_B3,,,1.4717
sub_grade_B2,,,1.2318
sub_grade_B1,,,1.1833
sub_grade_A5,,,1.1718
sub_grade_A4,,,0.925
sub_grade_B4,,,1.4979
sub_grade_C1,,,1.7821
sub_grade_B5,,,1.447
sub_grade_D2,,,2.3605
sub_grade_D3,,,2.3535
sub_grade_D4,,,2.4689
sub_grade_C2,,,1.9867
sub_grade_C3,,,1.9448
sub_grade_C4,,,2.096
sub_grade_C5,,,1.9827
sub_grade_D1,,,2.2853
sub_grade_E4,,,3.227
sub_grade_E3,,,2.7581
sub_grade_E2,,,2.7139
sub_grade_E1,,,2.696
sub_grade_D5,,,2.4083
sub_grade_E5,,,2.9421
sub_grade_F2,,,2.5823
sub_grade_F1,,,2.7757
sub_grade_G2,,,2.9333
sub_grade_G1,,,3.5945
sub_grade_F5,,,4.0298
sub_grade_F4,,,3.756
sub_grade_F3,,,3.6063
sub_grade_G5,,,4.7553
sub_grade_G3,,,3.0515
sub_grade_G4,,,3.0555
