pd_decile,num_loans,mean_predicted_pd,observed_default_rate,defaults,observed_to_predicted_ratio
1,9769,0.02953663108624058,0.03029992834476405,296,1.025842394018966
2,9769,0.04708243402660684,0.04729245572730065,462,1.0044607230920797
3,9769,0.06023148994676263,0.06837956802129184,668,1.1352793710022968
4,9769,0.07271326389687076,0.08322243832531477,813,1.1445289877696754
5,9769,0.0857623313635909,0.10707339543453782,1046,1.2484897942034514
6,9769,0.1004473503791211,0.1305148940526154,1275,1.299336354418604
7,9769,0.11851596164971838,0.15743678984542941,1538,1.3284015726990772
8,9769,0.14346052754178662,0.19050056300542534,1861,1.3278953191492837
9,9769,0.18536391094830598,0.23001330740096224,2247,1.2408742684821104
10,9769,0.2992151285158049,0.3307400962227454,3231,1.105358869597649
