sample,target,model_id,term,coef,std_err_HAC,t_stat_HAC,p_value_HAC,nobs,r2,adj_r2,aic,bic
robust_full_47q,calibrated,M1_unemp,const,-0.16300000072347132,0.03852864627560707,-4.230618422393638,2.3304971322246118e-05,45,0.0733299966085571,0.05177953141340719,9.305745634872778,12.919070614413418
robust_full_47q,calibrated,M1_unemp,unrate_diff_l1,0.18136126630917737,0.0391752676839434,4.629483779724398,3.6657843789027385e-06,45,0.0733299966085571,0.05177953141340719,9.305745634872778,12.919070614413418
robust_full_47q,calibrated,M2_unemp_spread,const,-0.16253804515547882,0.0379649055013932,-4.28127090029275,1.8582897243622993e-05,45,0.08307108816199826,0.03940780664590293,10.830204891589887,16.250192360900847
robust_full_47q,calibrated,M2_unemp_spread,unrate_diff_l1,0.18940065955881746,0.043835041926345096,4.320759174293994,1.5549330431721196e-05,45,0.08307108816199826,0.03940780664590293,10.830204891589887,16.250192360900847
robust_full_47q,calibrated,M2_unemp_spread,baa10y_spread_diff_l1,-0.04840195226779423,0.05638273898344699,-0.8584533696031371,0.3906421685281617,45,0.08307108816199826,0.03940780664590293,10.830204891589887,16.250192360900847
robust_full_47q,calibrated,M3_unemp_gdp,const,-0.12676550487553834,0.03216935016956365,-3.9405677829163874,8.12889765253344e-05,45,0.08142719421178124,0.03768563203138986,10.910809825737687,16.330797295048647
robust_full_47q,calibrated,M3_unemp_gdp,unrate_diff_l1,0.10826150137348567,0.1212159705784558,0.8931290229897101,0.3717880821732318,45,0.08142719421178124,0.03768563203138986,10.910809825737687,16.330797295048647
robust_full_47q,calibrated,M3_unemp_gdp,real_gdp_growth_yoy_l1,-2.169457479609367,2.7718906609247806,-0.7826634398651118,0.43382477686102017,45,0.08142719421178124,0.03768563203138986,10.910809825737687,16.330797295048647
robust_full_47q,calibrated,M4_unemp_gdp_spread,const,-0.13753021943272942,0.030555203622452422,-4.501040841752733,6.762150965762913e-06,45,0.08644782221778335,0.019602540916645483,12.664179461730782,19.89082942081206
robust_full_47q,calibrated,M4_unemp_gdp_spread,unrate_diff_l1,0.13689094171589855,0.0996985061567657,1.3730490755864642,0.169737090710804,45,0.08644782221778335,0.019602540916645483,12.664179461730782,19.89082942081206
robust_full_47q,calibrated,M4_unemp_gdp_spread,real_gdp_growth_yoy_l1,-1.5036333384664806,2.273944294393016,-0.6612445793742918,0.5084554765418803,45,0.08644782221778335,0.019602540916645483,12.664179461730782,19.89082942081206
robust_full_47q,calibrated,M4_unemp_gdp_spread,baa10y_spread_diff_l1,-0.03729476134251853,0.04530497360517976,-0.8231935342801874,0.4103979451479931,45,0.08644782221778335,0.019602540916645483,12.664179461730782,19.89082942081206
robust_full_47q,calibrated,M5_unemp_time_trend,const,-0.344429927398159,0.14403509036211135,-2.3912917784981778,0.016789204238680983,45,0.17944614529671876,0.14037215221561006,5.832936806184037,11.252924275494996
robust_full_47q,calibrated,M5_unemp_time_trend,unrate_diff_l1,0.3032827613983842,0.07010733957246658,4.325977326309686,1.5185704353350065e-05,45,0.17944614529671876,0.14037215221561006,5.832936806184037,11.252924275494996
robust_full_47q,calibrated,M5_unemp_time_trend,time_trend,0.007661181524019633,0.00491396586007648,1.5590628307499874,0.11898150989368196,45,0.17944614529671876,0.14037215221561006,5.832936806184037,11.252924275494996
robust_full_47q,raw,M1_unemp,const,0.03945623031485725,0.038873394103166405,1.0149931907191858,0.3101090733836349,45,0.06419699154540592,0.042434130883671095,9.915213850142365,13.528538829683004
robust_full_47q,raw,M1_unemp,unrate_diff_l1,0.1700091768097134,0.03905512294888755,4.3530570120649426,1.3425221904586797e-05,45,0.06419699154540592,0.042434130883671095,9.915213850142365,13.528538829683004
robust_full_47q,raw,M2_unemp_spread,const,0.03995111881402307,0.038242335800418116,1.044683018906661,0.2961694956693055,45,0.07533478851403497,0.03130311177660805,11.37641738392719,16.79640485323815
robust_full_47q,raw,M2_unemp_spread,unrate_diff_l1,0.1786217004703952,0.044045443677653756,4.055395644953352,5.004951372409515e-05,45,0.07533478851403497,0.03130311177660805,11.37641738392719,16.79640485323815
robust_full_47q,raw,M2_unemp_spread,baa10y_spread_diff_l1,-0.05185253988517544,0.057368730879228176,-0.9038467313201448,0.36607667833293234,45,0.07533478851403497,0.03130311177660805,11.37641738392719,16.79640485323815
robust_full_47q,raw,M3_unemp_gdp,const,0.07880529754673544,0.032142293291038404,2.4517633770925475,0.014215810943020945,45,0.07371040861667999,0.02960138045556948,11.455400527149564,16.875387996460525
robust_full_47q,raw,M3_unemp_gdp,unrate_diff_l1,0.09062605037791266,0.12244227366911835,0.740153279273593,0.45920699302639867,45,0.07371040861667999,0.02960138045556948,11.455400527149564,16.875387996460525
robust_full_47q,raw,M3_unemp_gdp,real_gdp_growth_yoy_l1,-2.3559353103768843,2.815138435422834,-0.8368808015734482,0.4026595727935257,45,0.07371040861667999,0.02960138045556948,11.455400527149564,16.875387996460525
robust_full_47q,raw,M4_unemp_gdp_spread,const,0.0673513068708477,0.030585408162401875,2.2020731753268383,0.027660139959298086,45,0.07937337546822221,0.012010451721994553,13.179443984316407,20.406093943397686
robust_full_47q,raw,M4_unemp_gdp_spread,unrate_diff_l1,0.12108866422574746,0.09996252916873831,1.2113405416278324,0.22576491695512813,45,0.07937337546822221,0.012010451721994553,13.179443984316407,20.406093943397686
robust_full_47q,raw,M4_unemp_gdp_spread,real_gdp_growth_yoy_l1,-1.647477741538058,2.3037671879437243,-0.7151233640967639,0.47453281807627323,45,0.07937337546822221,0.012010451721994553,13.179443984316407,20.406093943397686
robust_full_47q,raw,M4_unemp_gdp_spread,baa10y_spread_diff_l1,-0.03968278456499343,0.045876619258466665,-0.864989295340673,0.38704466422063977,45,0.07937337546822221,0.012010451721994553,13.179443984316407,20.406093943397686
robust_full_47q,raw,M5_unemp_time_trend,const,-0.14344541886360898,0.1460178489678503,-0.9823827694872583,0.3259113117090936,45,0.17163952335925248,0.1321937863763597,6.427167958553014,11.847155427863973
robust_full_47q,raw,M5_unemp_time_trend,unrate_diff_l1,0.29291967416169934,0.07088329488602134,4.132421815784766,3.589608864557397e-05,45,0.17163952335925248,0.1321937863763597,6.427167958553014,11.847155427863973
robust_full_47q,raw,M5_unemp_time_trend,time_trend,0.007723327463562721,0.004985388906408739,1.5491925722453366,0.12133543449944825,45,0.17163952335925248,0.1321937863763597,6.427167958553014,11.847155427863973
