quarter,loan_quarters,unique_loans,actual_defaults,expected_defaults_calibrated,multiplier_calibrated,expected_defaults_raw,multiplier_raw,min_age,max_age,n_ages,mean_age,full_age_mix
2007Q2,24,24,0,0.0605,0.0,0.0496,0.0,0,0,1,0.0,False
2007Q3,214,214,0,0.9203,0.0,0.7633,0.0,0,1,2,0.1121,False
2007Q4,603,603,1,5.2075,0.192,4.3507,0.2298,0,2,3,0.3947,False
2008Q1,1614,1614,19,16.7584,1.1338,14.0239,1.3548,0,3,4,0.5211,False
2008Q2,2112,2112,34,37.2166,0.9136,31.039,1.0954,0,4,5,1.1624,False
2008Q3,2410,2410,58,55.1838,1.051,45.883,1.2641,0,5,6,1.895,False
2008Q4,2993,2993,74,67.4101,1.0978,55.8988,1.3238,0,6,7,2.3311,False
2009Q1,3888,3888,80,77.0965,1.0377,63.7227,1.2554,0,7,8,2.5643,False
2009Q2,4982,4982,102,87.7093,1.1629,72.2265,1.4122,0,8,9,2.7816,True
2009Q3,6319,6319,93,99.7962,0.9319,81.8546,1.1362,0,8,9,2.9473,True
2009Q4,8044,8044,109,111.3943,0.9785,90.9195,1.1989,0,8,9,2.8882,True
2010Q1,9817,9817,112,122.3009,0.9158,99.2727,1.1282,0,8,9,2.8294,True
2010Q2,11804,11804,122,139.5082,0.8745,112.859,1.081,0,8,9,2.4139,True
2010Q3,14870,14870,160,179.129,0.8932,144.8976,1.1042,0,8,9,2.4086,True
2010Q4,18359,18359,199,230.3943,0.8637,186.4176,1.0675,0,8,9,2.6147,True
2011Q1,21897,21897,175,282.8428,0.6187,228.8832,0.7646,0,8,9,2.7911,True
2011Q2,26093,26093,252,336.5316,0.7488,272.3333,0.9253,0,8,9,2.8727,True
2011Q3,30862,30862,330,398.2018,0.8287,322.3075,1.0239,0,8,9,2.9553,True
2011Q4,36109,36109,344,467.3097,0.7361,378.3481,0.9092,0,8,9,3.0413,True
2012Q1,42253,42253,404,547.8095,0.7375,443.7226,0.9105,0,8,9,3.0457,True
2012Q2,50530,50530,488,644.8057,0.7568,522.5452,0.9339,0,8,9,2.998,True
2012Q3,63654,63654,670,768.3172,0.872,622.9585,1.0755,0,8,9,2.7498,True
2012Q4,78777,78777,825,960.1708,0.8592,779.1005,1.0589,0,8,9,2.6228,True
2013Q1,97680,97680,914,1226.8711,0.745,996.2967,0.9174,0,8,9,2.5728,True
2013Q2,124209,124209,1232,1568.5783,0.7854,1274.6504,0.9665,0,8,9,2.5111,True
2013Q3,156657,156657,1771,2020.7935,0.8764,1643.3092,1.0777,0,8,9,2.4914,True
2013Q4,194635,194635,1949,2591.0007,0.7522,2108.3313,0.9244,0,8,9,2.539,True
2014Q1,235345,235345,2308,3266.8431,0.7065,2659.5124,0.8678,0,8,9,2.6741,True
2014Q2,282470,282470,2907,4019.8193,0.7232,3273.477,0.888,0,8,9,2.8044,True
2014Q3,330553,330553,3958,4819.4546,0.8213,3925.3987,1.0083,0,8,9,2.9668,True
2014Q4,388286,388286,4264,5640.6259,0.7559,4595.3178,0.9279,0,8,9,3.0033,True
2015Q1,453512,453512,4924,6565.8195,0.7499,5350.0978,0.9204,0,8,9,3.0567,True
2015Q2,526126,526126,6331,7577.1935,0.8355,6174.955,1.0253,0,8,9,3.1086,True
2015Q3,605274,605274,8120,8660.0857,0.9376,7058.1509,1.1504,0,8,9,3.1156,True
2015Q4,697271,697271,8601,9866.859,0.8717,8041.8143,1.0695,0,8,9,3.0881,True
2016Q1,785552,785552,9802,11217.8966,0.8738,9142.7369,1.0721,0,8,9,3.1264,True
2016Q2,834451,834451,12475,12589.8593,0.9909,10263.6705,1.2155,0,8,9,3.3742,True
2016Q3,876418,876418,15362,13624.4017,1.1275,11111.2147,1.3826,0,8,9,3.5981,True
2016Q4,919055,919055,14479,14346.3603,1.0092,11705.8205,1.2369,0,8,9,3.8117,True
2017Q1,845200,845200,14640,14570.6534,1.0048,11896.0075,1.2307,1,8,8,4.4457,False
2017Q2,761287,761287,14065,13671.6631,1.0288,11167.1238,1.2595,2,8,7,5.0539,False
2017Q3,665983,665983,12471,11873.4177,1.0503,9702.2401,1.2854,3,8,6,5.6323,False
2017Q4,556185,556185,9166,9525.5118,0.9623,7788.5409,1.1769,4,8,5,6.1649,False
2018Q1,426649,426649,6178,6939.6089,0.8903,5678.4747,1.088,5,8,4,6.6078,False
2018Q2,294527,294527,3892,4633.0004,0.8401,3792.3879,1.0263,6,8,3,6.9832,False
2018Q3,198310,198310,2466,2778.0566,0.8877,2274.8347,1.084,7,8,2,7.4899,False
2018Q4,101159,101159,731,1041.7852,0.7017,853.0274,0.8569,8,8,1,8.0,False
