sample,target,model_id,term,coef,std_err_HAC,t_stat_HAC,p_value_HAC,nobs,r2,adj_r2,aic,bic
baseline_full_age_mix,calibrated,M1_unemp,const,-0.1573,0.0229,-6.8632,0.0,31,0.3281,0.3049,-43.697,-40.829
baseline_full_age_mix,calibrated,M1_unemp,unrate_diff_l1,0.2034,0.0282,7.2016,0.0,31,0.3281,0.3049,-43.697,-40.829
baseline_full_age_mix,calibrated,M2_unemp_spread,const,-0.1537,0.0229,-6.7172,0.0,31,0.3321,0.2844,-41.8844,-37.5824
baseline_full_age_mix,calibrated,M2_unemp_spread,unrate_diff_l1,0.2167,0.0357,6.0644,0.0,31,0.3321,0.2844,-41.8844,-37.5824
baseline_full_age_mix,calibrated,M2_unemp_spread,baa10y_spread_diff_l1,0.0241,0.0429,0.561,0.5748,31,0.3321,0.2844,-41.8844,-37.5824
baseline_full_age_mix,calibrated,M3_unemp_gdp,const,-0.1533,0.0244,-6.2737,0.0,31,0.3286,0.2807,-41.7235,-37.4215
baseline_full_age_mix,calibrated,M3_unemp_gdp,unrate_diff_l1,0.1927,0.0504,3.8257,0.0001,31,0.3286,0.2807,-41.7235,-37.4215
baseline_full_age_mix,calibrated,M3_unemp_gdp,real_gdp_growth_yoy_l1,-0.2859,1.0886,-0.2626,0.7929,31,0.3286,0.2807,-41.7235,-37.4215
baseline_full_age_mix,calibrated,M4_unemp_gdp_spread,const,-0.1358,0.0401,-3.3818,0.0007,31,0.3376,0.264,-40.1415,-34.4056
baseline_full_age_mix,calibrated,M4_unemp_gdp_spread,unrate_diff_l1,0.1872,0.0541,3.4598,0.0005,31,0.3376,0.264,-40.1415,-34.4056
baseline_full_age_mix,calibrated,M4_unemp_gdp_spread,real_gdp_growth_yoy_l1,-1.085,2.0077,-0.5404,0.5889,31,0.3376,0.264,-40.1415,-34.4056
baseline_full_age_mix,calibrated,M4_unemp_gdp_spread,baa10y_spread_diff_l1,0.0439,0.0727,0.6044,0.5456,31,0.3376,0.264,-40.1415,-34.4056
baseline_full_age_mix,calibrated,M5_unemp_time_trend,const,-0.2277,0.0499,-4.563,0.0,31,0.4149,0.3731,-45.9879,-41.6859
baseline_full_age_mix,calibrated,M5_unemp_time_trend,unrate_diff_l1,0.2494,0.0498,5.0114,0.0,31,0.4149,0.3731,-45.9879,-41.6859
baseline_full_age_mix,calibrated,M5_unemp_time_trend,time_trend,0.0049,0.0032,1.5399,0.1236,31,0.4149,0.3731,-45.9879,-41.6859
baseline_full_age_mix,raw,M1_unemp,const,0.049,0.0227,2.1615,0.0307,31,0.3177,0.2941,-44.2466,-41.3786
baseline_full_age_mix,raw,M1_unemp,unrate_diff_l1,0.1968,0.0283,6.9603,0.0,31,0.3177,0.2941,-44.2466,-41.3786
baseline_full_age_mix,raw,M2_unemp_spread,const,0.0529,0.0226,2.3459,0.019,31,0.3226,0.2743,-42.4739,-38.1719
baseline_full_age_mix,raw,M2_unemp_spread,unrate_diff_l1,0.2114,0.0351,6.0209,0.0,31,0.3226,0.2743,-42.4739,-38.1719
baseline_full_age_mix,raw,M2_unemp_spread,baa10y_spread_diff_l1,0.0263,0.0422,0.6225,0.5336,31,0.3226,0.2743,-42.4739,-38.1719
baseline_full_age_mix,raw,M3_unemp_gdp,const,0.0523,0.0243,2.1506,0.0315,31,0.3181,0.2694,-42.2652,-37.9632
baseline_full_age_mix,raw,M3_unemp_gdp,unrate_diff_l1,0.188,0.049,3.8368,0.0001,31,0.3181,0.2694,-42.2652,-37.9632
baseline_full_age_mix,raw,M3_unemp_gdp,real_gdp_growth_yoy_l1,-0.2374,1.0666,-0.2226,0.8239,31,0.3181,0.2694,-42.2652,-37.9632
baseline_full_age_mix,raw,M4_unemp_gdp_spread,const,0.0707,0.0394,1.7918,0.0732,31,0.3282,0.2536,-40.73,-34.994
baseline_full_age_mix,raw,M4_unemp_gdp_spread,unrate_diff_l1,0.1822,0.0528,3.4482,0.0006,31,0.3282,0.2536,-40.73,-34.994
baseline_full_age_mix,raw,M4_unemp_gdp_spread,real_gdp_growth_yoy_l1,-1.0724,1.9645,-0.5459,0.5851,31,0.3282,0.2536,-40.73,-34.994
baseline_full_age_mix,raw,M4_unemp_gdp_spread,baa10y_spread_diff_l1,0.0459,0.0713,0.6436,0.5199,31,0.3282,0.2536,-40.73,-34.994
baseline_full_age_mix,raw,M5_unemp_time_trend,const,-0.0178,0.0498,-0.357,0.7211,31,0.3984,0.3555,-46.1521,-41.8501
baseline_full_age_mix,raw,M5_unemp_time_trend,unrate_diff_l1,0.2405,0.0495,4.8576,0.0,31,0.3984,0.3555,-46.1521,-41.8501
baseline_full_age_mix,raw,M5_unemp_time_trend,time_trend,0.0047,0.0032,1.4567,0.1452,31,0.3984,0.3555,-46.1521,-41.8501
